Name,Author,Rating,Reviews,Price,Year,Genre,User Rating
olis,olis,0.2,4,8,2013,Non Fiction,
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,,5013,17,2009,Non Fiction,4.6
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,,798,5,2009,Non Fiction,4.6
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,,9769,13,2009,Fiction,4.6
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,1542,14,2009,Non Fiction,4.7
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,,1541,4,2009,Fiction,4.6
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,,3837,15,2009,Fiction,4.8
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,,37,6,2009,Non Fiction,4.6
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,,3181,12,2009,Fiction,4.8
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,,720,1,2009,Non Fiction,4.5
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,,956,14,2009,Non Fiction,4.3
Eclipse (Twilight Sagas),Stephenie Meyer,,5505,7,2009,Fiction,4.7
Eclipse (Twilight),Stephenie Meyer,,5505,18,2009,Fiction,4.7
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,,1365,11,2009,Non Fiction,4.6
Going Rogue: An American Life,Sarah Palin,,1636,6,2009,Non Fiction,4.6
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,3457,14,2009,Non Fiction,4.5
Have a Little Faith: A True Story,Mitch Albom,,1930,4,2009,Non Fiction,4.8
"I, Alex Cross",James Patterson,,1320,7,2009,Fiction,4.6
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,,3828,15,2009,Non Fiction,4.8
"Mastering the Art of French Cooking, Vol. 2",Julia Child,,2926,27,2009,Non Fiction,4.8
New Moon (The Twilight Saga),Stephenie Meyer,,5680,10,2009,Fiction,4.6
Olive Kitteridge,Elizabeth Strout,,4519,12,2009,Fiction,4.2
Outliers: The Story of Success,Malcolm Gladwell,,10426,20,2009,Non Fiction,4.6
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,8580,46,2009,Non Fiction,4.5
Sookie Stackhouse,Charlaine Harris,,973,25,2009,Fiction,4.7
StrengthsFinder 2.0,Gallup,,5069,17,2009,Non Fiction,4.0
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,,1583,18,2009,Non Fiction,4.5
The 5000 Year Leap,W. Cleon Skousen,,1680,12,2009,Non Fiction,4.8
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,9325,24,2009,Non Fiction,4.6
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,,858,53,2009,Non Fiction,4.7
The Elegance of the Hedgehog,Muriel Barbery,,1859,11,2009,Fiction,4.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,3207,6,2009,Non Fiction,4.6
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,,803,9,2009,Non Fiction,4.6
The Girl Who Played with Fire (Millennium),Stieg Larsson,,7251,16,2009,Fiction,4.7
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,,10559,2,2009,Fiction,4.4
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,,8587,10,2009,Fiction,4.7
The Help,Kathryn Stockett,,13871,6,2009,Fiction,4.8
The Last Lecture,Randy Pausch,,4028,9,2009,Non Fiction,4.7
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,,4628,7,2009,Fiction,4.8
The Lost Symbol,Dan Brown,,8747,19,2009,Fiction,4.2
The Love Dare,Stephen Kendrick,,1655,13,2009,Non Fiction,4.8
The Shack: Where Tragedy Confronts Eternity,William P. Young,,19720,8,2009,Fiction,4.6
The Time Traveler's Wife,Audrey Niffenegger,,3759,6,2009,Fiction,4.4
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,,3503,9,2009,Non Fiction,4.4
The Twilight Saga Collection,Stephenie Meyer,,3801,82,2009,Fiction,4.7
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,,3319,11,2009,Non Fiction,4.3
True Compass: A Memoir,Edward M. Kennedy,,438,15,2009,Non Fiction,4.5
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,,11676,9,2009,Fiction,4.7
Under the Dome: A Novel,Stephen King,,6740,20,2009,Fiction,4.3
Watchmen,Alan Moore,,3829,42,2009,Fiction,4.8
Where the Wild Things Are,Maurice Sendak,,9967,13,2009,Fiction,4.8
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,,460,2,2010,Non Fiction,4.6
"Autobiography of Mark Twain, Vol. 1",Mark Twain,,491,14,2010,Non Fiction,4.2
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,,615,21,2010,Non Fiction,4.7
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,,471,8,2010,Non Fiction,4.5
Catching Fire (The Hunger Games),Suzanne Collins,,22614,11,2010,Fiction,4.7
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,1542,14,2010,Non Fiction,4.7
Cutting for Stone,Abraham Verghese,,4866,11,2010,Fiction,4.6
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,,1924,8,2010,Fiction,4.3
Decision Points,George W. Bush,,2137,17,2010,Non Fiction,4.6
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,,1651,15,2010,Non Fiction,4.6
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,,2525,16,2010,Non Fiction,4.5
Food Rules: An Eater's Manual,Michael Pollan,,1555,9,2010,Non Fiction,4.4
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,,1215,9,2010,Non Fiction,4.4
George Washington's Sacred Fire,Peter A. Lillback,,408,20,2010,Non Fiction,4.5
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,3457,14,2010,Non Fiction,4.5
Life,Keith Richards,,2752,18,2010,Non Fiction,4.5
Little Bee: A Novel,Chris Cleave,,1467,10,2010,Fiction,4.1
Mockingjay (The Hunger Games),Suzanne Collins,,26741,8,2010,Fiction,4.5
Outliers: The Story of Success,Malcolm Gladwell,,10426,20,2010,Non Fiction,4.6
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,,548,2,2010,Fiction,4.8
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,8580,46,2010,Non Fiction,4.5
Radical: Taking Back Your Faith from the American Dream,David Platt,,1985,9,2010,Non Fiction,4.7
Sarah's Key,Tatiana de Rosnay,,3619,10,2010,Fiction,4.6
Sh*t My Dad Says,Justin Halpern,,1265,11,2010,Non Fiction,4.7
StrengthsFinder 2.0,Gallup,,5069,17,2010,Non Fiction,4.0
Switch: How to Change Things When Change Is Hard,Chip Heath,,1907,13,2010,Non Fiction,4.6
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,,637,20,2010,Non Fiction,4.4
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,,3477,28,2010,Non Fiction,4.7
The Art of Racing in the Rain: A Novel,Garth Stein,,11813,10,2010,Fiction,4.7
The Big Short: Inside the Doomsday Machine,Michael Lewis,,3536,17,2010,Non Fiction,4.7
The Confession: A Novel,John Grisham,,3523,13,2010,Fiction,4.3
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,,440,11,2010,Non Fiction,4.4
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,3207,6,2010,Non Fiction,4.6
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,,7747,14,2010,Fiction,4.7
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,,7251,9,2010,Fiction,4.7
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,,10559,2,2010,Fiction,4.4
The Help,Kathryn Stockett,,13871,6,2010,Fiction,4.8
The Hunger Games,Suzanne Collins,,32122,14,2010,Fiction,4.7
The Immortal Life of Henrietta Lacks,Rebecca Skloot,,9289,13,2010,Non Fiction,4.7
